id,latitude_deg,longitude_deg,local_code
6753,33.62639999,-85.96720123,04AL
6754,34.574319,-92.586047,04AR
6755,36.15420151,-109.5510025,04AZ
6756,34.5639,-117.675003,04CA
6757,33.08169937,-116.4410019,04CL
6758,41.75510025,-73.05239868,04CT
6759,32.098801,-98.525325,
6760,25.55870056,-80.51509857,04FA
324859,27.929372,-82.336981,04FD
6761,29.23940086,-81.22200012,04FL
6762,39.91120148,-83.188797,04I
6763,41.0882988,-92.05460358,04IA
6764,43.87770081,-116.5370026,04ID
6765,41.13059998,-84.99410248,04II
6766,40.63750076,-89.00700378,04IL
45410,41.701389,-85.113056,04IN
6767,40.17860031,-88.56900024,04IS
6768,38.97890091,-95.21970367,04KS
6769,37.13510132,-85.78939819,04KY
6770,30.051111,-90.702222,04LA
6771,42.13610077,-88.28759766,04LL
6772,30.44610023,-91.1053009,04LS
6773,42.80979919,-71.1391983,04MA
6774,39.51810074,-75.8214035,04MD
6775,44.66669846,-69.89389801,04ME
6776,42.53450012,-84.62830353,04MI
6777,47.9858017,-94.68689728,04MN
6778,39.30120087,-91.45149994,04MO
6779,32.9396019,-90.83730316,04MS
6780,47.13749778,-106.488095,04MT
6781,35.73920059,-78.78220367,04NC
6782,41.15999985,-101.2990036,04NE
6783,39.59680176,-75.23349762,04NJ
6784,35.75550079,-115.6650009,04NV
6785,42.26229858,-73.69619751,04NY
45733,45.530833,-123.085556,04OG
6786,41.2477,-81.100701,
6787,36.11529922,-97.07949829,04OK
6788,44.74990082,-120.2009964,04OR
6789,39.87929916,-75.22879791,04PA
6790,40.0306619,-75.63021,04PN
6791,34.84059906,-82.60690308,04SC
325773,44.993124,-101.243011,04SD
6792,30.27104167,-97.74469757,04TA
6793,29.70019913,-95.38739777,04TE
6794,36.18330002,-82.67890167,04TN
6795,30.55349922,-97.60610199,04TS
6796,31.73220062,-97.36889648,04TX
6797,37.00830078,-110.7949982,04UT
6798,38.0990833,-106.1743889,04V
6799,36.898,-82.078,04VA
6800,37.71440125,-77.21179962,04VG
6801,44.40110016,-72.26360321,04VT
6802,46.02280045,-92.895401,04W
6803,47.58179855,-117.4369965,04WA
6804,42.52339935,-88.01670074,04WI
45903,46.963889,-119.641667,04WN
6805,39.65361111,-79.95611111,04WV
6806,32.5821,-97.142502,
6807,61.66830063,-149.1880035,05AK
6808,31.23119926,-85.64969635,05AL
45302,36.000633,-93.57025,05AR
6809,32.68280029,-114.6340027,05AZ
6810,47.158901,-67.931999,05B
6811,34.13779831,-118.7139969,05CA
6812,38.6106987,-122.3909988,05CL
6813,40.2149839,-104.9844228,05CO
6814,41.77370071,-73.11620331,05CT
6815,30.91889954,-86.21829987,05FA
6816,25.96089935,-80.1391983,05FD
6817,26.5230999,-81.40830231,05FL
6818,32.07139969,-84.71440125,05GA
6819,43.13750076,-93.06829834,05IA
6820,45.914101,-114.835999,05ID
6821,41.02870178,-84.99720001,05II
6822,41.15670013,-88.01670074,05IL
6823,39.64199829,-86.5042038,05IN
6824,39.72589874,-89.26399994,05IS
6825,37.26620102,-95.959198,05KS
6826,37.53689957,-84.40720367,05KY
